"slug","city","population","pop2025","pop2020","growth","type","pop2024","densityMi","areaMi","lat","lng","rank"
"illinois/hometown","Hometown",4010,4010,4330,-0.0157094,"City",4074,8372,0.479,41.7312,-87.7311,374
"illinois/pittsfield","Pittsfield",4008,4008,4168,-0.00792079,"City",4040,838,4.782,39.6005,-90.8101,375
"illinois/sparta","Sparta",3986,3986,4081,-0.00474407,"City",4005,357,11.156,38.1394,-89.7305,376
"illinois/barrington-hills","Barrington Hills",3966,3966,4095,-0.00651303,"Village",3992,147,26.993,42.1386,-88.203,377
"illinois/rochester","Rochester",3926,3926,3858,0.00357873,"Village",3912,1484,2.646,39.7458,-89.5665,378
"illinois/morrison","Morrison",3923,3923,4067,-0.00733806,"City",3952,1558,2.518,41.8076,-89.9617,379
"illinois/rosewood-heights","Rosewood Heights",3890,3890,3990,-0.0025641,"CDP",3900,2328,1.671,38.8878,-90.0732,380
"illinois/millstadt","Millstadt",3861,3861,4065,-0.0105074,"Village",3902,1101,3.506,38.4575,-90.0859,381
"illinois/metamora","Metamora",3854,3854,3896,-0.00207146,"Village",3862,1694,2.275,40.795,-89.3684,382
"illinois/marshall","Marshall",3831,3831,3951,-0.00622568,"City",3855,1044,3.668,39.3995,-87.6912,383
"illinois/smithton","Smithton",3831,3831,4003,-0.00879689,"Village",3865,851,4.503,38.4143,-89.9901,384
"illinois/indian-head-park","Indian Head Park",3796,3796,4056,-0.0135135,"Village",3848,4073,0.932,41.7684,-87.8974,385
"illinois/coal-valley","Coal Valley",3784,3784,3864,-0.00421053,"Village",3800,1195,3.166,41.4384,-90.4394,386
"illinois/byron","Byron",3764,3764,3784,-0.00106157,"City",3768,809,4.65,42.1218,-89.2668,387
"illinois/burnham","Burnham",3759,3759,4033,-0.0144206,"Village",3814,2026,1.855,41.6395,-87.545,388
"illinois/south-chicago-heights","South Chicago Heights",3721,3721,4006,-0.0150873,"Village",3778,2354,1.581,41.4834,-87.6372,389
"illinois/red-bud","Red Bud",3720,3720,3794,-0.00401606,"City",3735,1418,2.623,38.2075,-90.0024,390
"illinois/dupo","Dupo",3717,3717,3976,-0.0137968,"Village",3769,581,6.403,38.5161,-90.2176,391
"illinois/riverwoods","Riverwoods",3702,3702,3789,-0.00457112,"Village",3719,933,3.967,42.1729,-87.8949,392
"illinois/rosemont","Rosemont",3650,3650,3939,-0.0156419,"Village",3708,2037,1.792,41.989,-87.8717,393
"illinois/oglesby","Oglesby",3599,3599,3699,-0.00552639,"City",3619,721,4.992,41.2932,-89.071,394
"illinois/st-joseph","St. Joseph",3598,3598,3795,-0.0107231,"Village",3637,1727,2.083,40.1147,-88.0356,395
"illinois/deer-park","Deer Park",3592,3592,3682,-0.00498615,"Village",3610,979,3.67,42.1663,-88.0862,396
"illinois/forsyth","Forsyth",3579,3579,3728,-0.00831255,"Village",3609,1156,3.096,39.9261,-88.9641,397
"illinois/aledo","Aledo",3536,3536,3618,-0.0045045,"City",3552,1509,2.344,41.1986,-90.7464,398
"illinois/fairbury","Fairbury",3535,3535,3632,-0.00534609,"City",3554,1934,1.828,40.7462,-88.5156,399
"illinois/oregon","Oregon",3532,3532,3616,-0.00479008,"City",3549,1833,1.927,42.0127,-89.3358,400
"illinois/eldorado","Eldorado",3521,3521,3735,-0.0120651,"City",3564,1407,2.503,37.8117,-88.4416,401
"illinois/fulton","Fulton",3514,3514,3646,-0.00734463,"City",3540,1503,2.338,41.8652,-90.1587,402
"illinois/hainesville","Hainesville",3455,3455,3540,-0.00489631,"Village",3472,1871,1.847,42.3362,-88.0734,403
"illinois/germantown-hills","Germantown Hills",3452,3452,3421,0.00174115,"Village",3446,2022,1.707,40.7706,-89.4689,404
"illinois/le-roy","Le Roy",3439,3439,3509,-0.00405444,"City",3453,1431,2.404,40.3394,-88.7611,405
"illinois/riverton","Riverton",3437,3437,3531,-0.00549769,"Village",3456,1091,3.151,39.8461,-89.5364,406
"illinois/wadsworth","Wadsworth",3427,3427,3506,-0.00464711,"Village",3443,348,9.844,42.4507,-87.9251,407
"illinois/tolono","Tolono",3412,3412,3586,-0.0101538,"Village",3447,1656,2.061,39.9913,-88.2625,408
"illinois/holiday-shores","Holiday Shores",3386,3386,3080,0.0101432,"CDP",3352,2140,1.582,38.9271,-89.9389,409
"illinois/gibson-city","Gibson City",3346,3346,3470,-0.0074162,"City",3371,1442,2.321,40.4668,-88.3792,410
"illinois/new-baden","New Baden",3327,3327,3419,-0.00538117,"Village",3345,1823,1.825,38.5368,-89.7072,411
"illinois/johnston-city","Johnston City",3260,3260,3379,-0.00730816,"City",3284,1541,2.116,37.821,-88.9293,412
"illinois/pistakee-highlands","Pistakee Highlands",3252,3252,3302,-0.00398162,"CDP",3265,2533,1.284,42.403,-88.2109,413
"illinois/galena","Galena",3205,3205,3317,-0.00681748,"City",3227,694,4.618,42.4221,-90.4278,414
"illinois/carlyle","Carlyle",3162,3162,3249,-0.00534759,"City",3179,923,3.425,38.6223,-89.3754,415
"illinois/south-jacksonville","South Jacksonville",3159,3159,3293,-0.00847458,"Village",3186,1396,2.263,39.6994,-90.224,416
"illinois/virden","Virden",3129,3129,3224,-0.00603558,"City",3148,1656,1.889,39.5061,-89.7711,417
"illinois/north-barrington","North Barrington",3085,3085,3135,-0.00323102,"Village",3095,653,4.725,42.2069,-88.1289,418
"illinois/sleepy-hollow","Sleepy Hollow",3085,3085,3199,-0.00740026,"Village",3108,1539,2.005,42.0903,-88.3137,419
"illinois/gillespie","Gillespie",3077,3077,3164,-0.00549451,"City",3094,2073,1.484,39.1254,-89.8173,420
"illinois/east-dundee","East Dundee",3073,3073,3177,-0.00678733,"Village",3094,1050,2.928,42.0974,-88.2481,421
"illinois/ingalls-park","Ingalls Park",3049,3049,3022,-0.00586893,"CDP",3067,2747,1.11,41.5204,-88.0345,422
"illinois/madison","Madison",3017,3017,3137,-0.00789214,"City",3041,213,14.145,38.6863,-90.1018,423
"illinois/momence","Momence",2982,2982,3104,-0.00798403,"City",3006,1889,1.579,41.1636,-87.6635,424
"illinois/westville","Westville",2982,2982,3162,-0.0119284,"Village",3018,1777,1.678,40.044,-87.6389,425
"illinois/nashville","Nashville",2961,2961,3090,-0.00870438,"City",2987,961,3.081,38.3536,-89.378,426
"illinois/georgetown-vermilion-county","Georgetown",2954,2954,3133,-0.0120401,"City",2990,1828,1.616,39.9774,-87.6354,427
"illinois/heyworth","Heyworth",2910,2910,2794,0.00796675,"Village",2887,875,3.325,40.3144,-88.9923,428
"illinois/rushville","Rushville",2880,2880,2987,-0.00723888,"City",2901,1743,1.652,40.12,-90.5666,429
"illinois/arcola","Arcola",2864,2864,2929,-0.0045186,"City",2877,1416,2.023,39.6836,-88.3008,430
