stusps,state,hud_area_code,countyname,hud_area_name,fips,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
KY,21,METRO14540N21031,Butler County,"Butler County, KY HUD Metro FMR Area",2103199999,12365,660,660,866,1204,1232
KY,21,NCNTY21033N21033,Caldwell County,"Caldwell County, KY",2103399999,12635,619,714,866,1038,1209
KY,21,NCNTY21035N21035,Calloway County,"Calloway County, KY",2103599999,37345,785,837,1098,1317,1454
KY,21,METRO17140M17140,Campbell County,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",2103799999,93122,958,1051,1353,1785,1976
KY,21,METRO37140N21039,Carlisle County,"Carlisle County, KY HUD Metro FMR Area",2103999999,4782,683,717,915,1173,1399
KY,21,NCNTY21041N21041,Carroll County,"Carroll County, KY",2104199999,10842,696,746,974,1168,1290
KY,21,METRO26580M21043,Carter County,"Carter County, KY HUD Metro FMR Area",2104399999,26671,698,703,866,1204,1254
KY,21,NCNTY21045N21045,Casey County,"Casey County, KY",2104599999,15942,619,790,866,1038,1169
KY,21,METRO17300M17300,Christian County,"Clarksville, TN-KY HUD Metro FMR Area",2104799999,72766,1090,1094,1346,1871,2258
KY,21,METRO30460M30460,Clark County,"Lexington-Fayette, KY MSA",2104999999,36897,883,1079,1272,1743,1940
KY,21,NCNTY21051N21051,Clay County,"Clay County, KY",2105199999,20322,662,759,866,1176,1308
KY,21,NCNTY21053N21053,Clinton County,"Clinton County, KY",2105399999,9295,619,660,866,1041,1209
KY,21,NCNTY21055N21055,Crittenden County,"Crittenden County, KY",2105599999,8979,619,660,866,1038,1209
KY,21,NCNTY21057N21057,Cumberland County,"Cumberland County, KY",2105799999,5974,619,701,866,1204,1209
KY,21,METRO36980M36980,Daviess County,"Owensboro, KY MSA",2105999999,102916,840,846,1110,1466,1470
KY,21,METRO14540M14540,Edmonson County,"Bowling Green, KY HUD Metro FMR Area",2106199999,12179,889,985,1153,1384,1806
KY,21,NCNTY21063N21063,Elliott County,"Elliott County, KY",2106399999,7378,619,683,866,1081,1209
KY,21,NCNTY21065N21065,Estill County,"Estill County, KY",2106599999,14138,619,790,866,1120,1259
KY,21,METRO30460M30460,Fayette County,"Lexington-Fayette, KY MSA",2106799999,321276,883,1079,1272,1743,1940
KY,21,NCNTY21069N21069,Fleming County,"Fleming County, KY",2106999999,15111,619,703,866,1142,1147
KY,21,NCNTY21071N21071,Floyd County,"Floyd County, KY",2107199999,35780,646,689,904,1109,1212
KY,21,NCNTY21073N21073,Franklin County,"Franklin County, KY",2107399999,51475,747,859,1083,1410,1680
KY,21,NCNTY21075N21075,Fulton County,"Fulton County, KY",2107599999,6480,619,660,866,1204,1453
KY,21,METRO17140M17140,Gallatin County,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",2107799999,8720,958,1051,1353,1785,1976
KY,21,NCNTY21079N21079,Garrard County,"Garrard County, KY",2107999999,17175,643,821,900,1156,1285
KY,21,METRO17140MM3020,Grant County,"Grant County, KY HUD Metro FMR Area",2108199999,25085,823,899,1155,1385,1678
KY,21,NCNTY21083N21083,Graves County,"Graves County, KY",2108399999,36701,619,660,866,1204,1311
KY,21,NCNTY21085N21085,Grayson County,"Grayson County, KY",2108599999,26465,708,712,866,1200,1209
KY,21,NCNTY21087N21087,Green County,"Green County, KY",2108799999,11198,619,790,866,1142,1147
KY,21,METRO26580M26580,Greenup County,"Huntington-Ashland, WV-KY-OH HUD Metro FMR Area",2108999999,35853,848,853,973,1249,1410
KY,21,NCNTY21091N21091,Hancock County,"Hancock County, KY",2109199999,9058,769,774,1016,1345,1347
KY,21,METRO21060M21060,Hardin County,"Elizabethtown, KY HUD Metro FMR Area",2109399999,111005,841,846,1056,1469,1771
KY,21,NCNTY21095N21095,Harlan County,"Harlan County, KY",2109599999,26589,694,699,866,1142,1147
KY,21,NCNTY21097N21097,Harrison County,"Harrison County, KY",2109799999,18803,619,790,866,1204,1214
KY,21,NCNTY21099N21099,Hart County,"Hart County, KY",2109999999,19345,619,747,866,1077,1198
KY,21,NCNTY21101N21101,Henderson County,"Henderson County, KY",2110199999,44770,711,764,949,1220,1414
