ZCTA,land_sqmi,water_sqmi,lat,lon,population,density_sqmi
11213,1.076,0.0,40.671155,-73.936266,69630,64711.895910780666
11214,2.024,0.0,40.59969,-73.996372,88994,43969.36758893281
11215,2.189,0.023,40.662688,-73.98674,70922,32399.269072635907
11216,0.962,0.0,40.680844,-73.949222,59913,62279.625779625785
11217,0.737,0.003,40.681671,-73.978529,42569,57759.83717774763
11218,1.362,0.0,40.64312,-73.976446,71313,52359.0308370044
11219,1.492,0.0,40.63262,-73.99677,94737,63496.648793565684
11220,1.728,0.0,40.641026,-74.016688,90792,52541.666666666664
11221,1.381,0.0,40.691426,-73.927626,90750,65713.25126719769
11222,1.523,0.08,40.72779,-73.947605,41418,27195.009848982274
11223,2.07,0.0,40.597091,-73.973469,78566,37954.58937198068
11224,1.551,0.034,40.577372,-73.988706,48469,31250.1611863314
11225,0.875,0.0,40.663119,-73.953867,56544,64621.71428571428
11226,1.303,0.0,40.646409,-73.956663,100022,76762.85495011513
11228,1.497,0.0,40.616725,-74.013432,42325,28273.21309285237
11229,2.007,0.055,40.601293,-73.944493,79802,39761.83358246138
11230,1.843,0.0,40.622089,-73.96519,88252,47884.970157352145
11231,1.425,0.026,40.677916,-74.005154,39704,27862.456140350878
11232,1.241,0.0,40.656541,-74.005182,26681,21499.597099113616
11233,1.349,0.0,40.678301,-73.919932,82711,61312.8243143069
11234,7.384,0.573,40.607723,-73.910649,87778,11887.59479956663
11235,2.457,0.444,40.58422,-73.943167,81958,33356.93935693936
11236,3.564,0.035,40.639413,-73.900664,95174,26704.264870931536
11237,0.996,0.018,40.70416,-73.921139,45233,45414.65863453815
11238,1.849,0.088,40.671331,-73.965937,58462,31618.17198485668
11239,1.717,0.217,40.64689,-73.864014,16047,9345.95224228305
11249,0.715,0.0,40.704501,-73.966002,45353,63430.769230769234
11354,2.152,0.023,40.768213,-73.827392,52325,24314.591078066915
11355,1.717,0.0,40.751435,-73.821227,79802,46477.57716948165
11356,1.581,0.0,40.784871,-73.841528,26956,17049.968374446555
11357,2.832,0.001,40.785129,-73.810037,42341,14950.918079096045
11358,1.957,0.0,40.760363,-73.796525,36496,18648.952478283085
11360,1.378,0.0,40.780419,-73.781838,19510,14158.200290275763
11361,1.714,0.019,40.764191,-73.772775,30402,17737.456242707118
11362,2.077,0.015,40.760204,-73.732417,18156,8741.454020221474
11363,0.865,0.013,40.772348,-73.746292,7515,8687.8612716763
11364,2.509,0.0,40.746251,-73.756062,36417,14514.547628537266
11365,2.488,0.018,40.739634,-73.79449,43258,17386.655948553056
11366,1.524,0.0,40.731121,-73.780458,12967,8508.530183727034
11367,1.911,0.0,40.730474,-73.822749,42210,22087.91208791209
11368,2.634,0.038,40.749737,-73.853045,107060,40645.40622627183
11369,1.084,0.0,40.763491,-73.87222,33354,30769.372693726935
11370,1.543,0.0,40.765393,-73.894216,28762,18640.311082307195
11372,0.739,0.0,40.751719,-73.88367,66995,90656.29228687416
11373,1.512,0.0,40.738945,-73.878561,99433,65762.56613756614
11374,0.944,0.0,40.726457,-73.861459,46128,48864.40677966102
11375,2.421,0.215,40.722975,-73.843179,75320,31111.111111111113
11377,2.532,0.0,40.744775,-73.90516,83545,32995.65560821485
11378,2.435,0.047,40.724744,-73.909639,37828,15535.112936344969
11379,2.216,0.0,40.717061,-73.880519,37378,16867.328519855593
11385,3.615,0.032,40.700647,-73.889423,103865,28731.67358229599
11411,1.179,0.0,40.694064,-73.736265,20501,17388.46480067854
11412,1.645,0.0,40.69802,-73.759081,41350,25136.77811550152
11413,3.016,0.017,40.67117,-73.752063,45072,14944.297082228117
11414,2.309,0.069,40.657604,-73.844804,31090,13464.70333477696
11415,0.56,0.0,40.708085,-73.828044,21379,38176.78571428571
11416,0.66,0.0,40.684586,-73.849713,26660,40393.93939393939
11417,1.113,0.0,40.676406,-73.844595,30091,27035.938903863433
11418,1.66,0.0,40.700315,-73.836019,36304,21869.879518072292
11419,1.127,0.0,40.688612,-73.823062,46938,41648.624667258206
11420,2.108,0.0,40.673502,-73.817702,50060,23747.62808349146
11421,1.285,0.0,40.694035,-73.858659,41937,32635.797665369653
11422,2.099,0.053,40.660787,-73.73757,33085,15762.267746545973
11423,1.407,0.0,40.715669,-73.768299,29105,20685.85643212509
11426,1.373,0.0,40.736407,-73.722357,19638,14302.98616168973
11427,1.569,0.0,40.730942,-73.745716,25124,16012.74697259401
11428,0.832,0.0,40.720993,-73.742203,18898,22713.94230769231
11429,1.321,0.0,40.709556,-73.73848,27933,21145.34443603331
11432,2.023,0.0,40.714934,-73.792955,63730,31502.718734552644
